date,total_music
2020-04-30,59.0
2020-05-01,74.0
2020-05-02,85.0
2020-05-03,43.0
2020-05-04,21.0
2020-05-05,39.0
2020-05-06,42.0
2020-05-07,48.0
2020-05-08,55.0
2020-05-09,69.0
2020-05-10,34.0
2020-05-11,16.0
2020-05-12,30.0
2020-05-13,40.0
2020-05-14,49.0
2020-05-15,51.0
2020-05-16,75.0
2020-05-17,34.0
2020-05-18,20.0
2020-05-19,27.0
2020-05-20,38.0
2020-05-21,37.0
2020-05-22,36.0
2020-05-23,39.0
2020-05-24,26.0
2020-05-25,17.0
2020-05-26,22.0
2020-05-27,31.0
2020-05-28,44.0
2020-05-29,45.0
2020-05-30,61.0
2020-05-31,32.0
2020-06-01,16.0
2020-06-02,20.0
2020-06-03,26.0
2020-06-04,26.0
2020-06-05,42.0
2020-06-06,47.0
2020-06-07,18.0
2020-06-08,9.0
2020-06-09,18.0
2020-06-10,19.0
2020-06-11,22.0
2020-06-12,15.0
2020-06-13,36.0
2020-06-14,23.0
2020-06-15,14.0
2020-06-16,18.0
2020-06-17,21.0
2020-06-18,24.0
2020-06-19,41.0
2020-06-20,38.0
2020-06-21,24.0
2020-06-22,15.0
2020-06-23,10.0
2020-06-24,19.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,7.0
2020-07-21,11.0
2020-07-22,16.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,1.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,1.0
2020-07-31,0.0
2020-08-01,19.0
2020-08-02,7.0
2020-08-03,1.0
2020-08-04,7.0
2020-08-05,8.0
2020-08-06,15.0
2020-08-07,9.0
2020-08-08,13.0
2020-08-09,7.0
2020-08-10,1.0
2020-08-11,6.0
2020-08-12,5.0
2020-08-13,4.0
2020-08-14,12.0
2020-08-15,9.0
2020-08-16,6.0
2020-08-17,0.0
2020-08-18,6.0
2020-08-19,5.0
2020-08-20,5.0
2020-08-21,7.0
2020-08-22,17.0
2020-08-23,8.0
2020-08-24,1.0
2020-08-25,2.0
2020-08-26,3.0
2020-08-27,4.0
2020-08-28,3.0
2020-08-29,8.0
2020-08-30,5.0
2020-08-31,1.0
2020-09-01,5.0
2020-09-02,4.0
2020-09-03,6.0
2020-09-04,6.0
2020-09-05,6.0
2020-09-06,1.0
2020-09-07,0.0
2020-09-08,1.0
2020-09-09,6.0
2020-09-10,0.0
2020-09-11,10.0
2020-09-12,15.0
2020-09-13,9.0
2020-09-14,0.0
2020-09-15,4.0
2020-09-16,2.0
2020-09-17,0.0
2020-09-18,8.0
2020-09-19,9.0
2020-09-20,2.0
2020-09-21,2.0
2020-09-22,6.0
2020-09-23,3.0
2020-09-24,7.0
2020-09-25,8.0
2020-09-26,9.0
2020-09-27,1.0
2020-09-28,3.0
2020-09-29,4.0
2020-09-30,2.0
2020-10-01,4.0
2020-10-02,9.0
2020-10-03,5.0
2020-10-04,4.0
2020-10-05,1.0
2020-10-06,1.0
2020-10-07,3.0
2020-10-08,3.0
2020-10-09,5.0
2020-10-10,7.0
2020-10-11,5.0
2020-10-12,1.0
2020-10-13,0.0
2020-10-14,1.0
2020-10-15,2.0
2020-10-16,5.0
2020-10-17,5.0
2020-10-18,2.0
2020-10-19,1.0
2020-10-20,0.0
2020-10-21,2.0
2020-10-22,6.0
2020-10-23,4.0
2020-10-24,5.0
2020-10-25,2.0
2020-10-26,1.0
2020-10-27,2.0
2020-10-28,3.0
2020-10-29,0.0
2020-10-30,4.0
2020-10-31,4.0
2020-11-01,1.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,1.0
2020-11-05,3.0
2020-11-06,9.0
2020-11-07,5.0
2020-11-08,3.0
2020-11-09,1.0
2020-11-10,1.0
2020-11-11,4.0
2020-11-12,2.0
2020-11-13,4.0
2020-11-14,7.0
2020-11-15,4.0
2020-11-16,0.0
2020-11-17,1.0
2020-11-18,3.0
2020-11-19,0.0
2020-11-20,4.0
2020-11-21,4.0
2020-11-22,7.0
2020-11-23,3.0
2020-11-24,3.0
2020-11-25,3.0
2020-11-26,3.0
2020-11-27,5.0
2020-11-28,5.0
2020-11-29,4.0
2020-11-30,2.0
2020-12-01,3.0
2020-12-02,4.0
2020-12-03,5.0
2020-12-04,5.0
2020-12-05,6.0
2020-12-06,6.0
2020-12-07,0.0
2020-12-08,2.0
2020-12-09,2.0
2020-12-10,2.0
2020-12-11,1.0
2020-12-12,3.0
2020-12-13,1.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,1.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,1.0
2020-12-20,0.0
2020-12-21,1.0
2020-12-22,2.0
2020-12-23,1.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,2.0
2021-01-01,1.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,1.0
2021-01-08,1.0
2021-01-09,1.0
2021-01-10,1.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,1.0
2021-01-22,1.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,1.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,1.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,1.0
2021-02-18,0.0
2021-02-19,1.0
2021-02-20,1.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,1.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,2.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,1.0
2021-03-03,0.0
2021-03-04,2.0
2021-03-05,5.0
2021-03-06,4.0
2021-03-07,0.0
2021-03-08,1.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,1.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,1.0
2021-03-18,0.0
2021-03-19,2.0
2021-03-20,2.0
2021-03-21,4.0
2021-03-22,0.0
2021-03-23,1.0
2021-03-24,0.0
2021-03-25,3.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,1.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,3.0
2021-04-04,1.0
2021-04-05,2.0
2021-04-06,4.0
2021-04-07,3.0
2021-04-08,1.0
2021-04-09,1.0
2021-04-10,3.0
2021-04-11,1.0
2021-04-12,1.0
2021-04-13,1.0
2021-04-14,1.0
2021-04-15,1.0
2021-04-16,2.0
2021-04-17,1.0
2021-04-18,3.0
2021-04-19,0.0
2021-04-20,2.0
2021-04-21,1.0
2021-04-22,2.0
2021-04-23,2.0
2021-04-24,1.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,1.0
2021-04-28,2.0
2021-04-29,1.0
2021-04-30,1.0
2021-05-01,1.0
2021-05-02,1.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,7.0
2021-05-07,4.0
2021-05-08,3.0
2021-05-09,3.0
2021-05-10,1.0
2021-05-11,1.0
2021-05-12,0.0
2021-05-13,3.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,2.0
2021-05-18,1.0
2021-05-19,6.0
2021-05-20,1.0
2021-05-21,2.0
2021-05-22,3.0
2021-05-23,2.0
2021-05-24,3.0
2021-05-25,1.0
2021-05-26,4.0
2021-05-27,1.0
2021-05-28,0.0
2021-05-29,4.0
2021-05-30,0.0
2021-05-31,2.0
2021-06-01,3.0
2021-06-02,4.0
2021-06-03,6.0
2021-06-04,5.0
2021-06-05,9.0
2021-06-06,9.0
2021-06-07,4.0
2021-06-08,6.0
2021-06-09,14.0
2021-06-10,9.0
2021-06-11,10.0
2021-06-12,21.0
2021-06-13,15.0
2021-06-14,4.0
2021-06-15,10.0
2021-06-16,12.0
2021-06-17,13.0
2021-06-18,13.0
2021-06-19,15.0
2021-06-20,13.0
2021-06-21,4.0
2021-06-22,10.0
2021-06-23,16.0
2021-06-24,16.0
2021-06-25,21.0
2021-06-26,26.0
2021-06-27,14.0
2021-06-28,6.0
2021-06-29,10.0
2021-06-30,14.0
2021-07-01,12.0
2021-07-02,18.0
2021-07-03,13.0
2021-07-04,6.0
2021-07-05,3.0
2021-07-06,6.0
2021-07-07,13.0
2021-07-08,25.0
2021-07-09,23.0
2021-07-10,29.0
2021-07-11,21.0
2021-07-12,7.0
2021-07-13,10.0
2021-07-14,17.0
2021-07-15,18.0
2021-07-16,24.0
2021-07-17,27.0
2021-07-18,24.0
2021-07-19,12.0
2021-07-20,13.0
2021-07-21,22.0
2021-07-22,21.0
2021-07-23,23.0
2021-07-24,26.0
2021-07-25,26.0
2021-07-26,11.0
2021-07-27,18.0
2021-07-28,23.0
2021-07-29,30.0
2021-07-30,40.0
2021-07-31,41.0
2021-08-01,27.0
2021-08-02,14.0
2021-08-03,21.0
2021-08-04,30.0
2021-08-05,32.0
2021-08-06,31.0
2021-08-07,40.0
2021-08-08,43.0
2021-08-09,23.0
2021-08-10,27.0
2021-08-11,37.0
2021-08-12,46.0
2021-08-13,49.0
2021-08-14,47.0
2021-08-15,42.0
2021-08-16,20.0
2021-08-17,29.0
2021-08-18,41.0
2021-08-19,49.0
2021-08-20,44.0
2021-08-21,65.0
2021-08-22,45.0
2021-08-23,22.0
2021-08-24,29.0
2021-08-25,40.0
2021-08-26,20.0
2021-08-27,48.0
2021-08-28,62.0
2021-08-29,51.0
2021-08-30,28.0
2021-08-31,33.0
2021-09-01,39.0
2021-09-02,17.0
2021-09-03,45.0
2021-09-04,44.0
2021-09-05,36.0
2021-09-06,16.0
2021-09-07,28.0
2021-09-08,31.0
2021-09-09,36.0
2021-09-10,56.0
2021-09-11,49.0
2021-09-12,37.0
2021-09-13,30.0
2021-09-14,49.0
2021-09-15,26.0
2021-09-16,16.0
2021-09-17,30.0
2021-09-18,50.0
2021-09-19,52.0
2021-09-20,23.0
2021-09-21,29.0
2021-09-22,34.0
2021-09-23,32.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,4.0
2021-09-28,44.0
2021-09-29,13.0
2021-09-30,32.0
2021-10-01,64.0
2021-10-02,52.0
2021-10-03,40.0
2021-10-04,30.0
2021-10-05,46.0
2021-10-06,42.0
2021-10-07,37.0
2021-10-08,50.0
2021-10-09,65.0
2021-10-10,38.0
2021-10-11,39.0
2021-10-12,43.0
2021-10-13,18.0
2021-10-14,32.0
2021-10-15,59.0
2021-10-16,65.0
2021-10-17,25.0
2021-10-18,36.0
2021-10-19,48.0
2021-10-20,36.0
2021-10-21,33.0
2021-10-22,64.0
2021-10-23,63.0
2021-10-24,37.0
2021-10-25,38.0
2021-10-26,51.0
2021-10-27,28.0
2021-10-28,69.0
2021-10-29,0.0
2021-10-30,47.0
2021-10-31,60.0
2021-11-01,29.0
2021-11-02,36.0
2021-11-03,47.0
2021-11-04,59.0
2021-11-05,9.0
2021-11-06,59.0
2021-11-07,16.0
2021-11-08,32.0
2021-11-09,48.0
2021-11-10,50.0
2021-11-11,40.0
2021-11-12,77.0
2021-11-13,83.0
2021-11-14,50.0
2021-11-15,25.0
2021-11-16,46.0
2021-11-17,48.0
2021-11-18,42.0
2021-11-19,63.0
2021-11-20,69.0
2021-11-21,55.0
2021-11-22,25.0
2021-11-23,38.0
2021-11-24,50.0
2021-11-25,3.0
2021-11-26,55.0
2021-11-27,41.0
2021-11-28,34.0
2021-11-29,25.0
2021-11-30,40.0
2021-12-01,35.0
2021-12-02,58.0
2021-12-03,52.0
2021-12-04,61.0
2021-12-05,60.0
2021-12-06,35.0
2021-12-07,43.0
2021-12-08,52.0
2021-12-09,57.0
2021-12-10,21.0
2021-12-11,76.0
2021-12-12,47.0
2021-12-13,32.0
2021-12-14,40.0
2021-12-15,48.0
2021-12-16,34.0
2021-12-17,53.0
2021-12-18,61.0
2021-12-19,43.0
2021-12-20,27.0
2021-12-21,18.0
2021-12-22,31.0
2021-12-23,23.0
2021-12-24,15.0
2021-12-25,9.0
2021-12-26,14.0
2021-12-27,22.0
2021-12-28,18.0
2021-12-29,27.0
2021-12-30,24.0
2021-12-31,7.0
2022-01-01,11.0
2022-01-02,7.0
2022-01-03,6.0
2022-01-04,9.0
2022-01-05,17.0
2022-01-06,27.0
2022-01-07,35.0
2022-01-08,30.0
2022-01-09,18.0
2022-01-10,24.0
2022-01-11,17.0
2022-01-12,28.0
2022-01-13,35.0
2022-01-14,13.0
2022-01-15,30.0
2022-01-16,30.0
2022-01-17,19.0
2022-01-18,23.0
2022-01-19,31.0
2022-01-20,33.0
2022-01-21,49.0
2022-01-22,47.0
2022-01-23,29.0
2022-01-24,7.0
2022-01-25,19.0
2022-01-26,22.0
2022-01-27,43.0
2022-01-28,42.0
2022-01-29,45.0
2022-01-30,20.0
2022-01-31,11.0
2022-02-01,20.0
2022-02-02,22.0
2022-02-03,13.0
2022-02-04,48.0
2022-02-05,50.0
2022-02-06,39.0
2022-02-07,19.0
2022-02-08,26.0
2022-02-09,22.0
2022-02-10,42.0
2022-02-11,42.0
2022-02-12,63.0
2022-02-13,26.0
2022-02-14,30.0
2022-02-15,26.0
2022-02-16,34.0
2022-02-17,44.0
2022-02-18,62.0
2022-02-19,60.0
2022-02-20,41.0
2022-02-21,28.0
2022-02-22,36.0
2022-02-23,0.0
2022-02-24,48.0
2022-02-25,66.0
2022-02-26,25.0
2022-02-27,52.0
2022-02-28,28.0
2022-03-01,40.0
2022-03-02,50.0
2022-03-03,45.0
2022-03-04,80.0
2022-03-05,71.0
2022-03-06,56.0
2022-03-07,29.0
2022-03-08,48.0
2022-03-09,51.0
2022-03-10,59.0
2022-03-11,81.0
2022-03-12,85.0
2022-03-13,53.0
2022-03-14,33.0
2022-03-15,49.0
2022-03-16,45.0
2022-03-17,59.0
2022-03-18,39.0
2022-03-19,82.0
2022-03-20,58.0
2022-03-21,0.0
2022-03-22,53.0
2022-03-23,46.0
2022-03-24,88.0
2022-03-25,37.0
2022-03-26,98.0
2022-03-27,58.0
2022-03-28,28.0
2022-03-29,56.0
2022-03-30,51.0
2022-03-31,89.0
2022-04-01,41.0
2022-04-02,106.0
2022-04-03,72.0
2022-04-04,40.0
2022-04-05,55.0
2022-04-06,63.0
2022-04-07,79.0
2022-04-08,42.0
2022-04-09,99.0
2022-04-10,71.0
2022-04-11,41.0
2022-04-12,60.0
2022-04-13,57.0
2022-04-14,81.0
2022-04-15,45.0
2022-04-16,83.0
2022-04-17,46.0
2022-04-18,38.0
2022-04-19,57.0
2022-04-20,80.0
2022-04-21,80.0
2022-04-22,53.0
2022-04-23,109.0
2022-04-24,79.0
2022-04-25,38.0
2022-04-26,59.0
2022-04-27,65.0
2022-04-28,72.0
2022-04-29,35.0
2022-04-30,77.0
2022-05-01,77.0
2022-05-02,47.0
2022-05-03,49.0
2022-05-04,70.0
2022-05-05,66.0
2022-05-06,75.0
2022-05-07,74.0
2022-05-08,80.0
2022-05-09,51.0
2022-05-10,55.0
2022-05-11,51.0
2022-05-12,71.0
2022-05-13,93.0
2022-05-14,101.0
2022-05-15,71.0
2022-05-16,41.0
2022-05-17,50.0
2022-05-18,78.0
2022-05-19,71.0
2022-05-20,79.0
2022-05-21,113.0
2022-05-22,89.0
2022-05-23,33.0
2022-05-24,50.0
2022-05-25,52.0
2022-05-26,46.0
2022-05-27,44.0
2022-05-28,66.0
2022-05-29,77.0
2022-05-30,26.0
2022-05-31,40.0
2022-06-01,63.0
2022-06-02,65.0
2022-06-03,73.0
2022-06-04,87.0
2022-06-05,24.0
2022-06-06,36.0
2022-06-07,50.0
2022-06-08,69.0
2022-06-09,75.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,40.0
2022-06-14,66.0
2022-06-15,17.0
2022-06-16,45.0
2022-06-17,81.0
2022-06-18,1.0
2022-06-19,75.0
2022-06-20,56.0
2022-06-21,70.0
2022-06-22,65.0
2022-06-23,57.0
2022-06-24,38.0
2022-06-25,84.0
2022-06-26,78.0
2022-06-27,41.0
2022-06-28,63.0
2022-06-29,51.0
2022-06-30,39.0
2022-07-01,55.0
2022-07-02,53.0
2022-07-03,61.0
2022-07-04,21.0
2022-07-05,31.0
2022-07-06,55.0
2022-07-07,60.0
2022-07-08,60.0
2022-07-09,66.0
2022-07-10,67.0
2022-07-11,38.0
2022-07-12,52.0
2022-07-13,49.0
2022-07-14,37.0
2022-07-15,55.0
2022-07-16,72.0
2022-07-17,74.0
2022-07-18,35.0
2022-07-19,51.0
2022-07-20,64.0
2022-07-21,72.0
2022-07-22,65.0
2022-07-23,78.0
2022-07-24,71.0
2022-07-25,46.0
2022-07-26,52.0
2022-07-27,56.0
2022-07-28,39.0
2022-07-29,40.0
2022-07-30,57.0
2022-07-31,71.0
2022-08-01,36.0
2022-08-02,42.0
2022-08-03,52.0
2022-08-04,52.0
2022-08-05,66.0
2022-08-06,101.0
2022-08-07,59.0
2022-08-08,42.0
2022-08-09,31.0
2022-08-10,47.0
2022-08-11,36.0
2022-08-12,57.0
2022-08-13,101.0
2022-08-14,61.0
2022-08-15,39.0
2022-08-16,49.0
2022-08-17,46.0
2022-08-18,48.0
2022-08-19,67.0
2022-08-20,1.0
2022-08-21,1.0
2022-08-22,0.0
2022-08-23,47.0
2022-08-24,49.0
2022-08-25,32.0
2022-08-26,53.0
2022-08-27,73.0
2022-08-28,67.0
2022-08-29,40.0
2022-08-30,38.0
2022-08-31,25.0
2022-09-01,51.0
2022-09-02,44.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,29.0
2022-09-06,39.0
2022-09-07,54.0
2022-09-08,56.0
2022-09-09,61.0
2022-09-10,67.0
2022-09-11,0.0
2022-09-12,45.0
2022-09-13,47.0
2022-09-14,58.0
2022-09-15,66.0
2022-09-16,63.0
2022-09-17,62.0
2022-09-18,0.0
2022-09-19,57.0
2022-09-20,66.0
2022-09-21,45.0
2022-09-22,44.0
2022-09-23,55.0
2022-09-24,71.0
2022-09-25,1.0
2022-09-26,43.0
2022-09-27,59.0
2022-09-28,57.0
2022-09-29,51.0
2022-09-30,70.0
2022-10-01,61.0
2022-10-02,73.0
2022-10-03,52.0
2022-10-04,54.0
2022-10-05,47.0
2022-10-06,64.0
2022-10-07,79.0
2022-10-08,94.0
2022-10-09,81.0
2022-10-10,50.0
2022-10-11,60.0
2022-10-12,62.0
2022-10-13,69.0
2022-10-14,74.0
2022-10-15,99.0
2022-10-16,89.0
2022-10-17,38.0
2022-10-18,60.0
2022-10-19,47.0
2022-10-20,43.0
2022-10-21,72.0
2022-10-22,10.0
2022-10-23,4.0
2022-10-24,52.0
2022-10-25,56.0
2022-10-26,61.0
2022-10-27,43.0
2022-10-28,67.0
2022-10-29,65.0
2022-10-30,69.0
2022-10-31,57.0
2022-11-01,48.0
2022-11-02,44.0
2022-11-03,76.0
2022-11-04,62.0
2022-11-05,115.0
2022-11-06,75.0
2022-11-07,50.0
2022-11-08,46.0
2022-11-09,64.0
2022-11-10,72.0
2022-11-11,77.0
2022-11-12,4.0
2022-11-13,2.0
2022-11-14,42.0
2022-11-15,60.0
2022-11-16,68.0
2022-11-17,53.0
2022-11-18,78.0
2022-11-19,98.0
2022-11-20,66.0
2022-11-21,44.0
2022-11-22,46.0
2022-11-23,27.0
2022-11-24,14.0
2022-11-25,49.0
2022-11-26,56.0
2022-11-27,58.0
2022-11-28,23.0
2022-11-29,48.0
2022-11-30,56.0
2022-12-01,54.0
2022-12-02,71.0
2022-12-03,85.0
2022-12-04,71.0
2022-12-05,48.0
2022-12-06,45.0
2022-12-07,55.0
2022-12-08,77.0
2022-12-09,67.0
2022-12-10,76.0
2022-12-11,89.0
2022-12-12,47.0
2022-12-13,57.0
2022-12-14,56.0
2022-12-15,55.0
2022-12-16,79.0
2022-12-17,97.0
2022-12-18,77.0
2022-12-19,49.0
2022-12-20,52.0
2022-12-21,42.0
2022-12-22,56.0
2022-12-23,43.0
2022-12-24,30.0
2022-12-25,23.0
2022-12-26,23.0
2022-12-27,30.0
2022-12-28,32.0
2022-12-29,37.0
2022-12-30,61.0
2022-12-31,73.0
2023-01-01,24.0
2023-01-02,16.0
2023-01-03,13.0
2023-01-04,25.0
2023-01-05,26.0
2023-01-06,52.0
2023-01-07,73.0
2023-01-08,38.0
2023-01-09,30.0
2023-01-10,37.0
2023-01-11,42.0
2023-01-12,41.0
2023-01-13,67.0
2023-01-14,107.0
2023-01-15,44.0
2023-01-16,27.0
2023-01-17,33.0
2023-01-18,42.0
2023-01-19,12.0
2023-01-20,70.0
2023-01-21,65.0
2023-01-22,58.0
2023-01-23,36.0
2023-01-24,29.0
2023-01-25,48.0
2023-01-26,48.0
2023-01-27,64.0
2023-01-28,68.0
2023-01-29,64.0
2023-01-30,31.0
2023-01-31,22.0
2023-02-01,43.0
2023-02-02,56.0
2023-02-03,68.0
2023-02-04,67.0
2023-02-05,48.0
2023-02-06,50.0
2023-02-07,35.0
2023-02-08,44.0
2023-02-09,44.0
2023-02-10,61.0
2023-02-11,98.0
2023-02-12,35.0
2023-02-13,43.0
2023-02-14,38.0
2023-02-15,43.0
2023-02-16,4.0
2023-02-17,63.0
2023-02-18,55.0
2023-02-19,45.0
2023-02-20,35.0
2023-02-21,47.0
2023-02-22,51.0
2023-02-23,31.0
2023-02-24,78.0
2023-02-25,66.0
2023-02-26,39.0
2023-02-27,42.0
2023-02-28,46.0
2023-03-01,49.0
2023-03-02,67.0
2023-03-03,55.0
2023-03-04,81.0
2023-03-05,42.0
2023-03-06,29.0
2023-03-07,30.0
2023-03-08,53.0
2023-03-09,30.0
2023-03-10,96.0
2023-03-11,114.0
2023-03-12,55.0
2023-03-13,31.0
2023-03-14,41.0
2023-03-15,31.0
2023-03-16,39.0
2023-03-17,44.0
2023-03-18,45.0
2023-03-19,31.0
2023-03-20,41.0
2023-03-21,13.0
2023-03-22,38.0
2023-03-23,62.0
2023-03-24,59.0
2023-03-25,81.0
2023-03-26,32.0
2023-03-27,33.0
2023-03-28,28.0
2023-03-29,31.0
2023-03-30,47.0
2023-03-31,76.0
2023-04-01,76.0
2023-04-02,52.0
2023-04-03,32.0
2023-04-04,30.0
2023-04-05,37.0
2023-04-06,43.0
2023-04-07,65.0
2023-04-08,60.0
2023-04-09,30.0
2023-04-10,22.0
2023-04-11,34.0
2023-04-12,39.0
2023-04-13,59.0
2023-04-14,64.0
2023-04-15,84.0
2023-04-16,42.0
2023-04-17,25.0
2023-04-18,36.0
2023-04-19,39.0
2023-04-20,42.0
2023-04-21,64.0
2023-04-22,88.0
2023-04-23,65.0
2023-04-24,22.0
2023-04-25,33.0
2023-04-26,41.0
2023-04-27,45.0
2023-04-28,67.0
2023-04-29,73.0
2023-04-30,43.0
2023-05-01,16.0
2023-05-02,20.0
2023-05-03,27.0
2023-05-04,32.0
2023-05-05,49.0
2023-05-06,61.0
2023-05-07,31.0
2023-05-08,16.0
2023-05-09,20.0
2023-05-10,30.0
2023-05-11,41.0
2023-05-12,44.0
2023-05-13,48.0
2023-05-14,25.0
2023-05-15,15.0
2023-05-16,20.0
2023-05-17,27.0
2023-05-18,30.0
2023-05-19,49.0
2023-05-20,61.0
2023-05-21,33.0
2023-05-22,14.0
2023-05-23,21.0
2023-05-24,19.0
2023-05-25,15.0
2023-05-26,19.0
2023-05-27,24.0
2023-05-28,20.0
2023-05-29,6.0
2023-05-30,13.0
2023-05-31,21.0
2023-06-01,17.0
